id,認可年月日,認可年月日_和暦,区分,種別,銘柄,銘柄_正規化,製品の区分,内容量,単位,原産国,小売定価_円,改定前定価_円,実施日,出典PDF,出典ページ,抽出精度
05193e9d82d2fc82,2026-09-16,令和8年9月16日,認可,加熱式たばこ,ｾﾝﾃｨｱ･ｸﾞﾚｰﾌﾟﾌﾙｰﾂ･ｶﾌﾟｾﾙ,センティアグレープフルーツカプセル,ﾊｰﾄﾞﾊﾟｯｸ,,,ﾙｰﾏﾆｱｷﾞﾘｼｬ,590,,,https://www.mof.go.jp/policy/tab_salt/topics/20260916_kouriteika.pdf,1,高
688d15169c28a66e,2026-09-14,令和8年9月14日,変更認可,葉巻たばこ,ｴﾙ･ｶﾞｳﾁｮ･ｽｸｴｱ,エルガウチョスクエア,150mm 1本,1,本,ｲﾝﾄﾞﾈｼｱ,2500,,,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteika.pdf,1,高
c82f96324540b464,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ･ﾏﾝｺﾞｰ･ｱｲｽ･ﾐﾃﾞｨｱﾑ,ベロマンゴーアイスミディアム,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,,,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteika.pdf,1,高
6e8e2c5aa96d7ca4,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｱｲｼｰ･ﾍﾞﾘｰｽﾞ ･ｲﾝﾃﾝｽ,ベロアイシーベリーズインテンス,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,中
51b522ebb703b1a2,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｱｲｼｰ･ﾍﾞﾘｰｽﾞ ･ｴｯｸｽｲﾝﾃﾝｽ,ベロアイシーベリーズエックスインテンス,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,中
6f156085e44eb290,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｸﾞﾙｰﾋﾞｰ･ｸﾞﾚｰﾌﾟ ･ｲﾝﾃﾝｽ,ベログルービーグレープインテンス,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,高
c2b6f253e0d618ae,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｸﾞﾙｰﾋﾞｰ･ｸﾞﾚｰﾌﾟ ･ﾐﾃﾞｨｱﾑ,ベログルービーグレープミディアム,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,中
f5076d38b7483b04,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｽﾋﾟｯﾌｨｰ･ｽﾍﾟｱﾐﾝﾄ ･ｲﾝﾃﾝｽ,ベロスピッフィースペアミントインテンス,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,中
77982d11f2332337,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｽﾋﾟｯﾌｨｰ･ｽﾍﾟｱﾐﾝﾄ ･ｴｯｸｽｲﾝﾃﾝｽ,ベロスピッフィースペアミントエックスインテンス,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,中
b6d50b58fdd9e45c,2026-09-14,令和8年9月14日,変更認可,かぎたばこ,ﾍﾞﾛ ･ｽﾋﾟｯﾌｨｰ･ｽﾍﾟｱﾐﾝﾄ ･ﾐﾃﾞｨｱﾑ,ベロスピッフィースペアミントミディアム,15個缶,15,個,ﾊﾟｷｽﾀﾝ,380,360,2026-11-01,https://www.mof.go.jp/policy/tab_salt/topics/20260914_kouriteikahenkou.pdf,1,中
